Item,Material,Price,Unit,Minimum,pret [ron],furnizor,link,,pret [ron],furnizor,link,minim,pret [ron],furnizor,link,minim
pal,W908ST2,423,coala,0.5,423,proficut,PAL MEL Stejar Bardolino Gri H1146 711RON + TVA,,477.86235,Holver,"H1146,ST10,STE. BARDOLINO GRI 14.09EUR + TVA",,,,,
pal,W962ST2,300,coala,0.5,300,proficut,,,,,,,,,,
blat,Blat Stejar Bardolino,320,m,2,319.6578,Holver,"K5577 DP - CER NEGRU DESCHIS 48,78 EUR + TVA => ",,,,,,,,,
blat,Stejar Alpin Keindl,138.75,m,2,138.75,,,,,,,,,,,
pfl,PFL Alb,100,coala,0.5,75,proficut,HDF ALB + debitare,,,,,,,,,
front,A75/P AquaBlue Ultramat,493,m2,1,493,protege parol,414RON + TVA => 493 RON/m2,,,,,,,,,
front,A34/R3,309.4,m2,1,309.4,nett front,,,,,,,,,,
cant,0.4,3.43,m,,3.43,proficut,ABS0422A,,,,,,,,,
cant,2,6.98,m,,6.98,proficut,ABS222A,,,,,,,,,
accesoriu,surub,0.1717,bucata,100,0.1717,regency company,https://regencycompany.ro/elemente-imbinare/eurosurub-imbinare-pal-tip-ericsson-7x50-mm.html,,,,,,,,,
accesoriu,eurosurub 7x50,0.1717,bucata,100,0.1717,regency company,https://regencycompany.ro/elemente-imbinare/eurosurub-imbinare-pal-tip-ericsson-7x50-mm.html,,,,,,,,,
accesoriu,surub 3.5x30,0.039,bucata,100,0.039,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-35x30-mm.html,,,,,,,,,
accesoriu,surub intre corpuri,0.039,bucata,100,0.039,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-35x30-mm.html,,,,,,,,,
accesoriu,surub blat,0.039,bucata,100,0.039,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-35x30-mm.html,,,,,,,,,
accesoriu,surub PFL,0.0259,bucata,100,0.0259,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-25x20.html,,,,,,,,,
accesoriu,surub 3.5x16,0.0259,bucata,100,0.0259,regency company,https://regencycompany.ro/elemente-imbinare/holtzsurub-35x16.html,,,,,,,,,
accesoriu,plinta,13.538,m,4,13.5375,regency company,https://regencycompany.ro/inalatoare-si-plinte/plinta-din-plastic-folie-al-neted-h-100-39-ml.html,,,,,,,,,
accesoriu,picioare,1.25,bucata,1,1.25,ProfiCut,https://www.feroshop.ro/picioare/picior-plastic-negru-reglabil-h-100mm-volpato (FeroShop 1.19),,,,,,,,,
accesoriu,clema plinta,0.7,bucata,1,0.7,ProfiCut,"https://regencycompany.ro/inalatoare-si-plinte/brida-prindere-pentru-plinta.html (Regency 0,33)",,,,,,,,,
accesoriu,bolt polita,0.0384,bucata,100,0.0384,regency company,https://regencycompany.ro/suporturi-polite/suport-din-metal-cu-inel-pentru-polita.html,,,,,,,,,
accesoriu,sipca apa,10.083,m,4,10.0825,regency company,https://regencycompany.ro/inalatoare-si-plinte/inaltator-triunghiular-din-pvc-argintiu-cu-striatii-39ml.html,,,,,,,,,
accesoriu,pereche clema prindere perete,9.8,pereche,1,9.8,ProfiCut,https://regencycompany.ro/suporturi-corpuri-suspendate/agatatori-blum-48n0510-pt-corpuri-suspendate-dreapta-alb.html (Regency 11.94),,,,,,,,,
accesoriu,sina perete,10.1,m,2,10.1,ProfiCut,"https://regencycompany.ro/suporturi-corpuri-suspendate/sina-corp-suspendat-2ml.html (Regency 5,08)",,,,,,,,,
accesoriu,surub diblu perete,2.39,bucata,1,2.39,dedeman,https://www.dedeman.ro/ro/diblu-universal-din-nylon-10-x-100-mm-friulsider-tup-cu-surub-cap-hexagonal-7-x-105-mm/p/6015316,,,,,,,,,
accesoriu,balama aplicata,7.2,bucata,1,7.2,ProfiCut,"https://regencycompany.ro/balamale/balama-blum-modul-aplicata-91m2550.html, https://regencycompany.ro/balamale/placuta-balama-blum-193l6100.html (Regency 3,86)
",,,,,,,,,
accesoriu,balama aplicata cu amortizor,15.05,bucata,1,15.05,Proficut,https://regencycompany.ro/balamale/balama-clip-top-cu-blumotion-incorporat-pentru-usa-aplicata-71b3550.html (Regency 14.7),,,,,,,,,
accesoriu,balama usa franta,22.4,bucata,,22.4,ProfiCut,MAM bricolaj 16.88,,,,,,,,,
accesoriu,balama 170 deg,17.2,bucata,,17.2,ProfiCut,Viking Tools (eMAG) 15.47,,,,,,,,,
accesoriu,amortizor,7.74,bucata,1,7.74,regency company,https://regencycompany.ro/balamale/blumotion-balama-aplicata-973a050001.html,,,,,,,,,
accesoriu,maner,10,bucata,1,10,generic,,,,,,,,,,
accesoriu,pereche glisiera 450 mm,19,pereche,1,19,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m4500.html,,22.88,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mm-l450-.html,1,37.48,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-cu-amortizare-45mml450-.html,1
accesoriu,pereche glisiera 500 mm,19.58,pereche,1,19.58,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m5000.html,,25.42,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mml500--.html,1,39.93,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-cu-amortizare-45mml500.html,1
accesoriu,pereche glisiera 550 mm,22.71,pereche,1,22.71,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m5500.html,,30.45,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mm-l550.html,1,,,,
accesoriu,pereche glisiera 600 mm,25.86,pereche,1,25.86,regency company,https://regencycompany.ro/glisiere-cu-role/glisiera-blum-maro-cu-rola-230m6000.html,,32.95,regency company,https://regencycompany.ro/glisiere-cu-bile/glisiera-hdd-cu-bile-extensie-totala-45mm-l600.html,1,,,,
accesoriu,Joly150500,150,bucata,1,107.76,regency company,https://regencycompany.ro/coloane-si-cosuri/cos-jolly-standard-15x45-culisare-laterala-cu-glisiera-cu-bile-pt-corp-de-200mm-crom.html,,,,,,,,,
accesoriu,Joly240500,250,bucata,1,107.76,regency company,https://regencycompany.ro/coloane-si-cosuri/cos-jolly-standard-15x45-culisare-laterala-cu-glisiera-cu-bile-pt-corp-de-200mm-crom.html,,,,,,,,,
accesoriu,Joly300500,300,bucata,1,244.55,MAM Bricolaj,https://webshop.mam-bricolaj.ro/produs/cos-jolly-300-mm-cu-amortizare-hafele?gclid=CjwKCAjw_tWRBhAwEiwALxFPoTAZRHSX3hwvYY7b79gUjj2oL3iZRrCTpfPMCOunEYo1TEYseA4WYhoCnkwQAvD_BwE,,,,,,,,,
accesoriu,Cos Jolly 300,300,bucata,1,300,estimat,,,,,,,,,,
accesoriu,tandembox M,200,bucata,1,200.2,ProfiCut,"(500) Laterale 90, Suport Spate, 6.6, Sina 78 | Cuplaj Front: 3.7*2 | 10% Buffer",,,,,,,,,
accesoriu,tandembox D,236.4,bucata,1,236.39,ProfiCut,"(500) Laterale 90, Suport Spate, 11, Sina 78 | Lonjeron 28.5 | Cuplaj Front: 3.7*2 | 10% Buffer",,,,,,,,,
accesoriu,L,2.74,bucata,1,2.74,alsafix.ro,Coltar metalic simplu 80x80x20mm,,,,,,,,,
accesoriu,demontabil,1.18,bucata,1,1.18,regency company,https://regencycompany.ro/elemente-imbinare/demontabil-blum-420700w-alb.html,,,,,,,,,
accesoriu,demontabil cama,0.6504,bucata,50,0.6504,MAM Bricolaj,https://webshop.mam-bricolaj.ro/produs/demontabil-minifix-cu-cama-hafele-set-50?gclid=CjwKCAiAkrWdBhBkEiwAZ9cdcCfOdy-SZqytPRja--Jf0EdZ8a85IwScv2aT96Adr17XvoCK_id9ARoCwqIQAvD_BwE,,,,,,,,,
accesoriu,diblu de lemn,0.0625,bucata,200,0.0625,Hornbach,https://www.hornbach.ro/p/dibluri-lemn-wolfcraft-o6x30-mm-pachet-200-bucati/980483/,,,,,,,,,
