Nume,Bucati,Pret/buc,Pret total
picioare,6,1.25,7.5
clema plinta,3.0,0.7,2.0999999999999996
surub 3.5x16,24,0.0259,0.6215999999999999
surub blat,4,0.039,0.156
surub,14,0.1717,2.4038
plinta,1.0,13.538,13.538
sipca apa,1.0,10.083,10.083
surub PFL,24,0.0259,0.6215999999999999
balama aplicata,3,7.2,21.6
amortizor,2,7.74,15.48
surub 3.5x16,12,0.0259,0.31079999999999997
maner,1,10.0,10.0
balama aplicata,3,7.2,21.6
amortizor,2,7.74,15.48
surub 3.5x16,12,0.0259,0.31079999999999997
maner,1,10.0,10.0
surub,4,0.1717,0.6868
surub,4,0.1717,0.6868
surub,4,0.1717,0.6868
surub,8,0.1717,1.3736
plinta,0.6,13.538,8.1228
picioare,4,1.25,5.0
clema plinta,2.0,0.7,1.4
surub 3.5x16,16,0.0259,0.4144
surub PFL,34,0.0259,0.8805999999999999
TOTAL picioare,10,1.25,12.5
TOTAL clema plinta,5.0,0.7,3.5
TOTAL surub 3.5x16,64,0.0259,1.6576
TOTAL surub blat,4,0.039,0.156
TOTAL surub,34,0.1717,5.8378
TOTAL plinta,1.6,13.538,21.660800000000002
TOTAL sipca apa,1.0,10.083,10.083
TOTAL surub PFL,58,0.0259,1.5022
TOTAL balama aplicata,6,7.2,43.2
TOTAL amortizor,4,7.74,30.96
TOTAL maner,2,10.0,20.0
