Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,600,650,0,t1.jos,1,,1,1
1,1732,650,0,t1.lat,1,,1,
1,1732,650,0,t1.lat,1,,1,
1,564,649,0,t1.sus,1,,,
1,564,650,0,t1.sep.h,1,,,
1,564,650,0,t1.sep.h,1,,,
1,564,650,0,t1.sep.h,1,,,
1,564,630,0,t1.pol,2,,,
1,564,630,0,t1.pol,2,,,
1,564,630,0,t1.pol,2,,,
1,564,630,0,t1.pol,2,,,
1,950,953,0,j2.jos,,,,
1,694,450,0,j2.lat1,1,,,
1,694,500,0,j2.lat2,1,,,
1,935,694,0,j2.spate,,,,
1,914,100,0,j2.leg,1,,,
1,914,100,0,j2.leg,1,,,
1,485,100,0,j2.leg,1,,,
1,932,483,0,j2pol,2,,,
