Nume,Bucati,Pret/buc,Pret total
surub,8,0.1717,1.3736
pereche clema prindere perete,1,11.2,11.2
sina perete,0.5,13.5,6.75
surub diblu perete,2,2.39,4.78
surub PFL,14,0.0259,0.3626
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
balama aplicata,3,7.2,21.6
amortizor,2,7.74,15.48
surub 3.5x16,12,0.0259,0.31079999999999997
maner,1,10.0,10.0
surub,8,0.1717,1.3736
pereche clema prindere perete,1,11.2,11.2
sina perete,0.15,13.5,2.025
surub diblu perete,1,2.39,2.39
surub PFL,10,0.0259,0.259
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
balama aplicata,2,7.2,14.4
amortizor,1,7.74,7.74
surub 3.5x16,8,0.0259,0.2072
maner,1,10.0,10.0
surub,8,0.1717,1.3736
pereche clema prindere perete,1,11.2,11.2
sina perete,1.0,13.5,13.5
surub diblu perete,5,2.39,11.950000000000001
surub PFL,22,0.0259,0.5698
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
balama aplicata,3,7.2,21.6
amortizor,2,7.74,15.48
surub 3.5x16,12,0.0259,0.31079999999999997
maner,1,10.0,10.0
balama aplicata,3,7.2,21.6
amortizor,2,7.74,15.48
surub 3.5x16,12,0.0259,0.31079999999999997
maner,1,10.0,10.0
surub,8,0.1717,1.3736
pereche clema prindere perete,1,11.2,11.2
sina perete,0.15,13.5,2.025
surub diblu perete,1,2.39,2.39
surub PFL,10,0.0259,0.259
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
balama aplicata,2,7.2,14.4
amortizor,1,7.74,7.74
surub 3.5x16,8,0.0259,0.2072
maner,1,10.0,10.0
surub,8,0.1717,1.3736
pereche clema prindere perete,1,11.2,11.2
sina perete,0.5,13.5,6.75
surub diblu perete,2,2.39,4.78
surub PFL,14,0.0259,0.3626
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
balama aplicata,3,7.2,21.6
amortizor,2,7.74,15.48
surub 3.5x16,12,0.0259,0.31079999999999997
maner,1,10.0,10.0
TOTAL surub,40,0.1717,6.867999999999999
TOTAL pereche clema prindere perete,5,11.2,56.0
TOTAL sina perete,2.3,13.5,31.049999999999997
TOTAL surub diblu perete,11,2.39,26.290000000000003
TOTAL surub PFL,88,0.0259,2.2792
TOTAL bolt polita,36,0.0384,1.3823999999999999
TOTAL balama aplicata,16,7.2,115.2
TOTAL amortizor,10,7.74,77.4
TOTAL surub 3.5x16,64,0.0259,1.6576
TOTAL maner,6,10.0,60.0
