Nume,Bucati,Pret/buc,Pret total
surub PFL,16,0.0259,0.4144
eurosurub 7x50,10,0.1717,1.7169999999999999
surub 3.5x30,14,0.039,0.546
demontabil cama,6,0.6504,3.9024
L,2,2.74,5.48
surub PFL,26,0.0259,0.6734
eurosurub 7x50,8,0.1717,1.3736
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
balama aplicata,3,7.2,21.6
amortizor,2,7.74,15.48
surub 3.5x16,12,0.0259,0.31079999999999997
maner,1,10.0,10.0
surub PFL,26,0.0259,0.6734
eurosurub 7x50,8,0.1717,1.3736
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
surub,8,0.1717,1.3736
pereche clema prindere perete,1,11.2,11.2
sina perete,0.482,13.5,6.507
surub diblu perete,2,2.39,4.78
surub PFL,12,0.0259,0.31079999999999997
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
maner,1,10.0,10.0
maner,1,10.0,10.0
TOTAL surub PFL,102,0.0259,2.6418
TOTAL eurosurub 7x50,26,0.1717,4.4642
TOTAL surub 3.5x30,14,0.039,0.546
TOTAL demontabil cama,6,0.6504,3.9024
TOTAL L,2,2.74,5.48
TOTAL bolt polita,44,0.0384,1.6895999999999998
TOTAL balama aplicata,3,7.2,21.6
TOTAL amortizor,2,7.74,15.48
TOTAL surub 3.5x16,12,0.0259,0.31079999999999997
TOTAL maner,3,10.0,30.0
TOTAL surub,8,0.1717,1.3736
TOTAL pereche clema prindere perete,1,11.2,11.2
TOTAL sina perete,0.482,13.5,6.507
TOTAL surub diblu perete,2,2.39,4.78
