Length;Width;Qty;Label;Enabled
564;600;1;T1.jos;TRUE
2100;600;1;T1.lat;TRUE
2100;600;1;T1.lat;TRUE
564;600;1;T1.sus;TRUE
564;100;1;T1.plinta;TRUE
564;580;1;T1.pol;TRUE
564;580;1;T1.pol;TRUE
564;580;1;T1.pol;TRUE
564;580;1;T1.pol;TRUE
564;580;1;T1.pol;TRUE
564;580;1;T1.pol;TRUE
564;600;1;T2.jos;TRUE
2100;600;1;T2.lat;TRUE
2100;600;1;T2.lat;TRUE
564;600;1;T2.sus;TRUE
564;100;1;T2.plinta;TRUE
564;580;1;T2.pol;TRUE
564;580;1;T2.pol;TRUE
564;580;1;T2.pol;TRUE
564;580;1;T2.pol;TRUE
564;580;1;T2.pol;TRUE
564;580;1;T2.pol;TRUE
1164;600;1;T3.jos;TRUE
2100;600;1;T3.lat;TRUE
2100;600;1;T3.lat;TRUE
1164;600;1;T3.sus;TRUE
1164;100;1;T3.plinta;TRUE
1164;600;1;T3.sep.h;TRUE
1164;600;1;T3.sep.h;TRUE
1164;580;1;T3.pol;TRUE
1164;580;1;T3.pol;TRUE
1164;600;1;T4.jos;TRUE
2100;600;1;T4.lat;TRUE
2100;600;1;T4.lat;TRUE
1164;600;1;T4.sus;TRUE
1164;100;1;T4.plinta;TRUE
1164;600;1;T4.sep.h;TRUE
1164;600;1;T4.sep.h;TRUE
1164;580;1;T4.pol;TRUE
1164;580;1;T4.pol;TRUE
