Nume,Bucati,Pret/buc,Pret total
surub,8,0.1717,1.3736
plinta,0.6,13.538,8.1228
picioare,4,1.25,5.0
clema plinta,2.0,0.7,1.4
surub 3.5x16,16,0.0259,0.4144
surub PFL,36,0.0259,0.9324
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
surub PFL,36,0.0259,0.9324
surub,8,0.1717,1.3736
plinta,0.6,13.538,8.1228
picioare,4,1.25,5.0
clema plinta,2.0,0.7,1.4
surub 3.5x16,16,0.0259,0.4144
surub PFL,36,0.0259,0.9324
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
surub PFL,36,0.0259,0.9324
surub,4,0.1717,0.6868
surub,4,0.1717,0.6868
surub,8,0.1717,1.3736
plinta,1.2,13.538,16.2456
picioare,6,1.25,7.5
clema plinta,3.0,0.7,2.0999999999999996
surub 3.5x16,24,0.0259,0.6215999999999999
surub PFL,44,0.0259,1.1396
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
surub PFL,44,0.0259,1.1396
surub,4,0.1717,0.6868
surub,4,0.1717,0.6868
surub,8,0.1717,1.3736
plinta,1.2,13.538,16.2456
picioare,6,1.25,7.5
clema plinta,3.0,0.7,2.0999999999999996
surub 3.5x16,24,0.0259,0.6215999999999999
surub PFL,44,0.0259,1.1396
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
surub PFL,44,0.0259,1.1396
TOTAL surub,48,0.1717,8.2416
TOTAL plinta,3.5999999999999996,13.538,48.736799999999995
TOTAL picioare,20,1.25,25.0
TOTAL clema plinta,10.0,0.7,7.0
TOTAL surub 3.5x16,80,0.0259,2.072
TOTAL surub PFL,352,0.0259,9.1168
TOTAL bolt polita,64,0.0384,2.4576
