Bucati,Lungime,Latime,Orientabila,Eticheta,L1,L2,l1,l2
1,564,600,0,T1.jos,0.4,,0.4,0.4
1,2100,600,0,T1.lat,0.4,,0.4,
1,2100,600,0,T1.lat,0.4,,0.4,
1,564,600,0,T1.sus,0.4,,,
1,564,100,0,T1.plinta,0.4,,,
1,564,580,0,T1.pol,2,,,
1,564,580,0,T1.pol,2,,,
1,564,580,0,T1.pol,2,,,
1,564,580,0,T1.pol,2,,,
1,564,580,0,T1.pol,2,,,
1,564,580,0,T1.pol,2,,,
1,564,600,0,T2.jos,0.4,,0.4,0.4
1,2100,600,0,T2.lat,0.4,,0.4,
1,2100,600,0,T2.lat,0.4,,0.4,
1,564,600,0,T2.sus,0.4,,,
1,564,100,0,T2.plinta,0.4,,,
1,564,580,0,T2.pol,2,,,
1,564,580,0,T2.pol,2,,,
1,564,580,0,T2.pol,2,,,
1,564,580,0,T2.pol,2,,,
1,564,580,0,T2.pol,2,,,
1,564,580,0,T2.pol,2,,,
1,1164,600,0,T3.jos,0.4,,0.4,0.4
1,2100,600,0,T3.lat,0.4,,0.4,
1,2100,600,0,T3.lat,0.4,,0.4,
1,1164,600,0,T3.sus,0.4,,,
1,1164,100,0,T3.plinta,0.4,,,
1,1164,600,0,T3.sep.h,0.4,,,
1,1164,600,0,T3.sep.h,0.4,,,
1,1164,580,0,T3.pol,2,,,
1,1164,580,0,T3.pol,2,,,
1,1164,600,0,T4.jos,0.4,,0.4,0.4
1,2100,600,0,T4.lat,0.4,,0.4,
1,2100,600,0,T4.lat,0.4,,0.4,
1,1164,600,0,T4.sus,0.4,,,
1,1164,100,0,T4.plinta,0.4,,,
1,1164,600,0,T4.sep.h,0.4,,,
1,1164,600,0,T4.sep.h,0.4,,,
1,1164,580,0,T4.pol,2,,,
1,1164,580,0,T4.pol,2,,,
