Nume,Bucati,Pret/buc,Pret total
picioare,4,1.25,5.0
clema plinta,2.0,0.7,1.4
surub 3.5x16,16,0.0259,0.4144
surub blat,4,0.039,0.156
surub,14,0.1717,2.4038
plinta,0.6,13.538,8.1228
sipca apa,0.6,10.083,6.0498
surub PFL,16,0.0259,0.4144
surub,4,0.1717,0.6868
surub,4,0.1717,0.6868
surub,4,0.1717,0.6868
surub,4,0.1717,0.6868
bolt polita,4,0.0384,0.1536
surub PFL,2,0.0259,0.0518
balama aplicata,2,7.2,14.4
amortizor,1,7.74,7.74
surub 3.5x16,8,0.0259,0.2072
maner,1,10.0,10.0
balama aplicata,2,7.2,14.4
amortizor,1,7.74,7.74
surub 3.5x16,8,0.0259,0.2072
maner,1,10.0,10.0
TOTAL picioare,4,1.25,5.0
TOTAL clema plinta,2.0,0.7,1.4
TOTAL surub 3.5x16,32,0.0259,0.8288
TOTAL surub blat,4,0.039,0.156
TOTAL surub,30,0.1717,5.151
TOTAL plinta,0.6,13.538,8.1228
TOTAL sipca apa,0.6,10.083,6.0498
TOTAL surub PFL,18,0.0259,0.4662
TOTAL bolt polita,4,0.0384,0.1536
TOTAL balama aplicata,4,7.2,28.8
TOTAL amortizor,2,7.74,15.48
TOTAL maner,2,10.0,20.0
